"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.471923750E-1,7.472642660E-1,3.215570450E-1,6.551179886E-1,1.044501027E0
1.636370680E-1,7.624034286E-1,3.339080811E-1,1.276499748E0,1.523878342E0
1.800625240E-1,7.576187849E-1,1.846547127E-1,1.926769257E0,2.078586865E0
1.965029430E-1,8.369198442E-1,-5.438899994E-2,2.195938110E0,2.350646118E0
2.129391620E-1,9.156283140E-1,-2.611060143E-1,1.954895020E0,2.174434662E0
2.293731120E-1,1.010730982E0,-3.978605270E-1,1.628778458E0,1.957751103E0
2.458075100E-1,1.157943606E0,-5.037412643E-1,1.063149452E0,1.650719666E0
2.622413290E-1,1.236892700E0,-5.471847057E-1,6.487817764E-1,1.500077480E0
2.786721760E-1,1.287600160E0,-5.340914726E-1,3.749113083E-1,1.443511815E0
2.951098600E-1,1.394678354E0,-4.773466587E-1,1.117334366E-1,1.478334166E0
3.115438910E-1,1.376009822E0,-3.135151863E-1,-2.522201538E-1,1.433635173E0
3.279747590E-1,1.216434956E0,-5.498886108E-2,-6.804399490E-1,1.394896520E0
3.444122290E-1,1.049029708E0,2.309803963E-1,-9.970297813E-1,1.465565985E0
3.608457110E-1,8.994002342E-1,4.821891785E-1,-1.046180725E0,1.461479146E0
3.772837000E-1,7.988885045E-1,6.223359108E-1,-9.354996681E-1,1.378653132E0
3.937106310E-1,7.521237731E-1,6.450972557E-1,-6.418237686E-1,1.180583919E0
4.101423840E-1,7.200747728E-1,6.215186119E-1,-3.950490952E-1,1.029979054E0
4.265741780E-1,7.481544018E-1,5.913062096E-1,-3.288774490E-1,1.008731093E0
4.430165200E-1,7.814338803E-1,6.036682129E-1,-3.436965942E-1,1.045553236E0
4.594459440E-1,7.279885411E-1,6.583414078E-1,-4.315376282E-1,1.072196554E0
4.758834950E-1,5.287955999E-1,7.561893463E-1,-4.860849380E-1,1.042940881E0
4.923193280E-1,2.934815288E-1,8.395781517E-1,-4.958448410E-1,1.018275497E0
5.087527480E-1,1.776524186E-1,7.891449928E-1,-5.232629776E-1,9.633869136E-1
5.251866680E-1,1.743127704E-1,6.006994247E-1,-5.401086807E-1,8.264031267E-1
5.416176780E-1,2.695173025E-1,3.332037926E-1,-3.679933548E-1,5.648747232E-1
5.580550870E-1,3.847564757E-1,1.220364571E-1,-1.612396240E-1,4.346592445E-1
5.744890470E-1,4.982533157E-1,8.606290817E-2,-8.832931519E-2,5.132886699E-1
5.909228350E-1,5.431039929E-1,2.850761414E-1,-1.722326279E-1,6.370984474E-1
6.073574460E-1,4.509441853E-1,5.686426163E-1,-4.059429169E-1,8.315616243E-1
6.237889040E-1,3.560991585E-1,7.946393490E-1,-6.016521454E-1,1.058415613E0
6.402256920E-1,4.478830099E-1,8.272991180E-1,-5.387153625E-1,1.084083605E0
6.566593380E-1,7.178610563E-1,6.628613472E-1,-4.253940582E-1,1.065678078E0
6.730966550E-1,8.614470959E-1,6.304869652E-1,-3.968172073E-1,1.138889287E0
6.895261400E-1,7.659127116E-1,7.636156082E-1,-5.710248947E-1,1.223029235E0
7.059635480E-1,6.746070385E-1,9.530944824E-1,-9.833374023E-1,1.526576626E0
7.223945790E-1,6.551560163E-1,1.095776320E0,-1.327105522E0,1.841511394E0
7.388202690E-1,6.536834240E-1,1.236386299E0,-1.494543076E0,2.046854197E0
